"Name","Home Price Forecast","Vacancy Rate","Investor Forecast","Price Cut %","Median Age","Housing Unit Growth Rate"
"Logan, WV","58","16.2%","-","24.2%","44.1","-12.1%"
"Logan, IL","63","7.1%","-","16.4%","40.5","-0.6%"
"Logan, OH","54","17.8%","-","24.8%","42.1","1.7%"
"Logan, KY","35","12.3%","-","27.4%","40.6","0.5%"
"Johnson, TN","50","18.0%","-","19.5%","46.4","-2.7%"
"Johnson, IN","43","4.3%","71","27.5%","37.9","8.3%"
"Johnson, IL","54","25.3%","-","13.1%","42.7","-1.6%"
"Johnson, KY","58","16.0%","-","21.9%","42.0","-1.4%"
"Johnson, GA","43","9.4%","-","14.8%","44.1","-13.0%"
"Laurens, SC","30","10.9%","59","20.6%","42.2","2.8%"
"Laurens, GA","49","17.6%","-","19.7%","39.9","2.3%"
"Madison, VA","52","11.7%","-","11.7%","46.2","0.9%"
"Madison, IN","47","8.7%","58","30.5%","41.1","0.7%"
"Madison, AL","34","7.2%","71","25.7%","37.8","10.9%"
"Madison, TN","38","8.5%","64","29.8%","39.0","2.1%"
"Madison, NC","46","25.0%","35","27.9%","44.5","2.8%"
"Madison, FL","47","16.8%","-","17.6%","44.9","-2.2%"
"Madison, KY","41","8.5%","56","24.5%","34.5","11.1%"
"Madison, OH","45","6.1%","38","37.9%","41.5","1.8%"
"Madison, GA","41","11.9%","55","21.0%","39.8","3.0%"
"Berrien, GA","48","14.6%","-","19.3%","39.8","-8.0%"
"Franklin, KY","55","6.3%","56","23.5%","40.6","3.5%"
"Franklin, FL","34","41.9%","-","19.8%","49.2","-2.2%"
"Franklin, AL","49","16.9%","-","17.6%","38.6","-1.3%"
"Franklin, PA","54","6.6%","53","16.8%","41.6","2.5%"
"Franklin, TN","36","13.7%","-","25.2%","42.7","2.9%"
"Franklin, IN","48","6.3%","48","26.2%","42.3","0.2%"
"Franklin, IL","54","12.6%","-","14.0%","43.4","-0.8%"
"Franklin, NC","30","5.6%","45","27.3%","40.9","13.4%"
"Franklin, VA","46","13.0%","-","51.2%","40.5","1.1%"
"Franklin, VA","55","20.6%","40","26.9%","48.5","-5.0%"
"Franklin, OH","37","6.6%","52","30.4%","35.1","7.4%"
"Franklin, GA","40","18.5%","-","36.6%","40.2","1.5%"
"Oconee, SC","49","19.6%","51","29.6%","47.2","5.0%"
"Oconee, GA","41","4.3%","58","29.3%","40.7","10.8%"
"Tift, GA","43","11.5%","-","27.8%","37.3","5.4%"
"Bibb, AL","48","16.7%","39","26.0%","41.3","-0.7%"
"Bibb, GA","40","15.3%","60","20.7%","36.3","2.7%"
"Newton, MS","46","15.8%","-","20.5%","37.8","-3.5%"
"Newton, GA","37","4.0%","65","27.6%","36.4","11.9%"
"Forsyth, NC","45","6.6%","65","23.0%","37.8","6.5%"
"Forsyth, GA","44","4.8%","61","37.6%","39.8","13.2%"
"Mitchell, NC","58","26.0%","-","32.1%","48.0","-1.5%"
"Mitchell, GA","48","11.5%","-","16.6%","39.9","-0.0%"
"Muscogee, GA","53","11.7%","64","21.0%","35.4","9.3%"
"Carroll, MD","54","3.9%","56","21.7%","40.9","4.7%"
"Carroll, OH","58","14.3%","50","34.1%","45.5","-1.8%"
"Carroll, TN","41","14.1%","-","25.7%","41.6","-1.0%"
"Carroll, KY","55","12.7%","-","36.3%","38.5","-0.5%"
"Carroll, VA","49","24.9%","-","19.3%","49.0","-0.5%"
"Carroll, IN","50","15.8%","57","28.5%","42.9","-0.3%"
"Carroll, GA","34","8.4%","57","25.4%","35.8","6.7%"
"Lee, FL","26","27.8%","73","27.7%","49.1","13.0%"
"Lee, KY","38","19.2%","-","12.5%","43.4","-7.1%"
"Lee, MS","51","15.0%","49","21.1%","38.4","2.0%"
"Lee, VA","51","22.2%","-","21.6%","45.4","-7.8%"
"Lee, SC","45","17.0%","-","29.6%","41.8","-2.3%"
"Lee, NC","38","5.1%","53","23.5%","40.5","11.9%"
"Lee, GA","47","7.0%","72","19.3%","37.2","16.3%"
"Lee, AL","45","8.6%","64","21.4%","33.8","16.3%"
"Cherokee, SC","36","12.3%","-","24.2%","40.3","2.3%"
"Cherokee, NC","46","28.2%","-","27.4%","53.3","0.4%"
"Cherokee, GA","44","5.9%","61","31.2%","40.2","15.9%"
"Cherokee, AL","45","28.5%","-","22.3%","47.4","-11.2%"
"Dale, AL","49","13.7%","45","17.3%","38.0","-0.6%"
"Etowah, AL","49","16.2%","-","25.7%","41.2","-0.1%"
"Autauga, AL","53","8.9%","70","14.2%","39.2","6.0%"
"Echols, GA","43","17.9%","52","0.0%","31.2","-19.8%"
"Gilchrist, FL","39","10.1%","57","16.4%","42.7","2.8%"
"Lafayette, MS","57","34.8%","61","13.0%","30.9","12.4%"
"Lafayette, FL","52","21.4%","-","18.1%","41.8","4.8%"
"Dixie, FL","47","34.5%","-","16.0%","45.8","-0.5%"
"Grady, GA","45","13.1%","-","15.3%","39.4","6.9%"
"Vermillion, IN","47","10.4%","55","14.5%","42.5","-2.3%"
"Clark, IN","46","7.3%","67","20.0%","39.8","10.1%"
"Clark, OH","49","9.6%","51","23.4%","41.3","-0.1%"
"Clark, KY","39","8.2%","55","24.5%","40.8","2.7%"
"Clark, IL","54","10.0%","-","37.5%","42.0","-5.9%"
"Coles, IL","62","10.4%","-","28.5%","38.2","-3.4%"
"Wayne, IN","53","12.7%","35","16.6%","40.9","-2.1%"
"Wayne, MS","50","18.1%","-","0.0%","39.1","-3.0%"
"Wayne, TN","47","20.4%","-","12.6%","44.3","-1.7%"
"Wayne, NC","36","12.7%","43","20.3%","37.4","-1.0%"
"Wayne, KY","47","20.8%","-","30.4%","43.4","-7.0%"
"Wayne, WV","59","14.7%","59","21.3%","44.5","-5.4%"
"Wayne, GA","45","12.2%","-","19.6%","38.9","2.8%"
"Wayne, IL","42","10.9%","-","16.4%","43.1","-3.0%"
"Piatt, IL","61","7.1%","49","17.3%","42.5","-0.3%"
"Moultrie, IL","66","6.1%","-","23.5%","40.4","-3.7%"
"Fayette, WV","54","15.8%","-","14.6%","44.5","-11.2%"
"Fayette, TN","31","7.5%","51","20.5%","47.2","7.4%"
"Fayette, PA","52","10.7%","44","21.8%","45.9","-2.3%"
"Fayette, KY","52","5.7%","46","18.1%","35.4","5.4%"
"Fayette, OH","46","8.3%","-","35.1%","40.8","-0.5%"
"Fayette, IN","43","13.0%","-","32.6%","43.9","0.7%"
"Fayette, AL","34","22.4%","-","15.1%","42.8","-7.9%"
"Fayette, GA","38","4.2%","50","26.9%","43.6","9.4%"
"Fayette, IL","60","11.4%","-","28.5%","41.7","-5.0%"
"Peoria, IL","65","8.6%","55","13.4%","39.3","1.4%"
"Morgan, AL","38","8.0%","73","27.5%","40.2","3.5%"
"Morgan, OH","45","22.9%","-","19.0%","44.4","-8.0%"
"Morgan, GA","45","10.4%","56","24.1%","42.3","13.2%"
"Morgan, WV","53","21.4%","45","17.2%","49.3","-7.7%"
"Morgan, KY","44","15.9%","-","38.7%","41.8","-5.6%"
"Morgan, TN","46","15.9%","51","29.0%","42.5","-4.8%"
"Morgan, IN","46","3.9%","47","30.8%","41.4","6.7%"
"Dickson, TN","33","9.0%","45","23.9%","39.0","7.4%"
"Lawrence, IL","47","14.8%","-","30.7%","40.6","-10.3%"
"Lawrence, OH","58","15.2%","50","21.0%","41.9","-3.5%"
"Lawrence, AL","46","14.1%","63","23.5%","42.8","-0.3%"
"Lawrence, IN","47","6.6%","-","27.3%","43.5","-2.7%"
"Lawrence, KY","66","18.8%","72","15.3%","42.0","2.5%"
"Lawrence, TN","30","10.6%","-","26.5%","39.0","2.6%"
"Hopkins, KY","44","13.3%","-","30.7%","41.3","-2.1%"
"Crittenden, KY","50","18.3%","-","0.0%","42.8","-5.3%"
"Ballard, KY","62","15.8%","-","26.6%","44.2","-5.2%"
"Union, TN","47","20.0%","72","22.2%","42.4","4.2%"
"Union, NC","41","3.9%","61","31.2%","39.9","10.6%"
"Union, FL","50","12.1%","-","20.0%","40.1","4.4%"
"Union, OH","43","2.2%","52","26.7%","37.9","25.8%"
"Union, GA","43","26.3%","-","28.8%","55.9","2.9%"
"Union, MS","47","17.9%","-","22.6%","38.4","2.4%"
"Union, NJ","62","3.5%","54","8.2%","39.5","5.3%"
"Union, SC","33","13.1%","45","28.2%","44.3","-4.1%"
"Union, IN","53","12.2%","-","21.0%","43.7","-0.0%"
"Union, KY","43","12.6%","-","0.0%","41.3","-6.1%"
"Union, IL","58","12.0%","-","7.5%","44.3","-1.7%"
"Lauderdale, MS","60","11.5%","-","13.9%","39.4","-5.0%"
"Lauderdale, AL","44","8.6%","72","26.6%","41.3","-0.7%"
"Lauderdale, TN","44","13.8%","-","27.3%","39.4","-5.3%"
"Pemiscot, MO","42","17.0%","-","0.0%","38.9","-8.1%"
"Cullman, AL","46","10.8%","-","25.1%","40.1","6.0%"
"Hale, AL","42","26.2%","66","8.0%","41.0","-3.3%"
"Lowndes, GA","54","8.4%","58","18.1%","34.0","8.8%"
"Lowndes, AL","56","13.7%","47","25.0%","42.7","-6.9%"
"Lowndes, MS","52","15.5%","50","23.9%","37.0","-0.8%"
"Scott, VA","50","23.9%","49","28.5%","47.6","-1.3%"
"Scott, TN","31","12.3%","-","32.6%","40.7","-1.3%"
"Scott, IN","45","10.5%","-","37.6%","41.2","1.8%"
"Scott, KY","51","5.2%","63","8.8%","36.4","8.5%"
"Scott, MO","49","9.9%","-","14.2%","39.4","-2.2%"
"Scott, MS","48","15.3%","62","14.2%","37.2","-1.8%"
"Lamar, GA","35","9.5%","-","22.0%","38.7","2.2%"
"Lamar, AL","49","29.8%","-","23.5%","44.5","-3.8%"
"Lamar, MS","40","5.4%","42","18.0%","38.1","13.2%"
"Santa Rosa, FL","34","10.8%","58","28.4%","40.2","11.9%"
"Hancock, KY","52","9.5%","-","22.2%","41.5","4.4%"
"Hancock, GA","49","42.3%","-","11.9%","47.3","-7.9%"
"Hancock, WV","55","9.3%","50","14.1%","46.8","-1.1%"
"Hancock, TN","37","24.3%","-","7.4%","41.9","1.8%"
"Hancock, IN","39","4.1%","65","32.1%","41.2","16.3%"
"Hancock, MS","35","14.4%","66","37.4%","45.7","-6.2%"
"Honolulu, HI","38","10.0%","42","17.0%","40.2","6.6%"
"Hawaii, HI","42","19.2%","50","18.7%","44.3","3.3%"
"Maui, HI","36","22.7%","42","17.3%","43.3","-0.2%"
