"Name","Sale Inventory Growth (YoY)","Sale Inventory Growth (MoM)","Home Sales Growth (YoY)","Price Cut %","Population Growth","Cap Rate"
"DeKalb, GA","56.2%","7.5%","-4.7%","35.4%","0.8%","5.8%"
"DeKalb, TN","68.0%","6.1%","-31.0%","38.5%","4.8%","-"
"DeKalb, AL","51.1%","12.0%","7.3%","22.1%","1.6%","-"
"Coosa, AL","-11.5%","2.2%","200.0%","28.5%","-4.9%","6.6%"
"Levy, FL","27.5%","2.6%","-15.3%","24.0%","10.7%","3.8%"
"Clinch, GA","-20.0%","9.0%","-75.0%","0.0%","-0.3%","-"
"Liberty, GA","53.3%","7.8%","-13.2%","21.2%","11.4%","7.5%"
"Liberty, FL","86.6%","-6.6%","-33.3%","20.0%","-8.5%","-"
"Walton, GA","23.5%","0.2%","-9.5%","29.4%","14.1%","4.2%"
"Walton, FL","13.6%","3.1%","-12.9%","22.7%","20.9%","3.1%"
"Parke, IN","20.0%","0.0%","10.0%","35.7%","-3.8%","-"
"Gibson, TN","50.0%","13.3%","-14.2%","24.2%","2.9%","7.2%"
"Gibson, IN","-2.0%","19.5%","-20.0%","19.7%","-1.8%","-"
"Vermilion, IL","-13.1%","-0.6%","-15.7%","17.6%","-6.7%","9.3%"
"McLean, KY","60.0%","26.3%","-25.0%","23.5%","-2.1%","5.6%"
"McLean, IL","-17.6%","9.6%","2.5%","13.2%","-1.3%","4.8%"
"Limestone, AL","54.2%","5.5%","4.8%","21.6%","19.2%","4.1%"
"Todd, KY","2.1%","-15.7%","100.0%","11.1%","-0.1%","-"
"Webster, GA","300.0%","0.0%","0.0%","0.0%","-10.1%","-"
"Webster, WV","-15.7%","0.0%","-66.6%","0.0%","-3.1%","-"
"Webster, MS","-8.3%","7.3%","0.0%","15.3%","1.1%","7.8%"
"Webster, KY","50.0%","0.0%","0.0%","17.3%","-2.1%","-"
"Houston, AL","30.6%","2.7%","-18.9%","27.0%","3.5%","8.5%"
"Houston, GA","16.7%","5.3%","-8.9%","13.6%","10.6%","6.9%"
"Houston, TN","70.7%","18.6%","-14.2%","45.4%","1.4%","-"
"Hardin, OH","21.4%","36.0%","22.2%","17.1%","-3.2%","-"
"Hardin, KY","51.8%","1.7%","33.9%","26.9%","1.7%","6.3%"
"Hardin, IL","42.8%","20.0%","100.0%","0.0%","-9.6%","-"
"Hardin, TN","41.7%","5.5%","57.1%","24.4%","4.5%","-"
"Jackson, OH","-1.3%","6.6%","0.0%","26.6%","0.1%","-"
"Jackson, GA","26.7%","2.9%","2.6%","25.5%","25.8%","5.4%"
"Jackson, FL","41.0%","0.7%","7.1%","20.9%","-1.6%","8.8%"
"Jackson, WV","48.0%","34.5%","0.0%","21.0%","-4.3%","-"
"Jackson, NC","37.9%","26.5%","-24.6%","11.6%","1.9%","3.4%"
"Jackson, MS","8.0%","2.6%","-6.5%","24.9%","2.1%","7.9%"
"Jackson, IN","61.1%","13.7%","-16.1%","32.7%","5.4%","-"
"Jackson, KY","31.8%","5.4%","-50.0%","31.5%","-2.7%","-"
"Jackson, TN","27.0%","-6.0%","-16.6%","25.0%","2.2%","7.8%"
"Jackson, AL","40.9%","5.8%","-43.4%","20.4%","1.4%","-"
"Jackson, IL","-28.9%","-2.5%","-9.6%","13.2%","-9.9%","7.0%"
"Marshall, TN","31.3%","1.9%","-20.0%","31.3%","9.3%","-"
"Marshall, AL","32.6%","6.5%","35.4%","21.7%","4.8%","8.6%"
"Marshall, WV","-17.5%","-8.7%","140.0%","13.9%","-4.7%","8.6%"
"Marshall, KY","39.2%","7.8%","72.2%","19.3%","1.8%","-"
"Marshall, MS","8.6%","-12.9%","-30.3%","18.9%","-5.2%","5.8%"
"Tipton, IN","88.8%","47.8%","-37.5%","23.5%","0.7%","5.5%"
"Dallas, AL","27.7%","-2.4%","-12.5%","12.3%","-6.2%","-"
"Wilcox, GA","176.9%","9.0%","0.0%","20.0%","-0.7%","-"
"Wilcox, AL","-5.2%","12.5%","0.0%","20.0%","-4.2%","-"
"Pickens, SC","45.5%","10.3%","39.1%","36.8%","8.4%","5.1%"
"Pickens, GA","34.2%","4.0%","-32.4%","27.7%","10.9%","3.2%"
"Pickens, AL","-19.3%","-6.1%","-12.5%","13.7%","-7.1%","8.6%"
"Itawamba, MS","27.7%","1.9%","-22.2%","17.9%","1.9%","11.9%"
"Kemper, MS","-22.2%","0.0%","-50.0%","0.0%","-12.3%","-"
"Choctaw, AL","88.8%","9.6%","100.0%","20.0%","-4.2%","-"
"Choctaw, MS","116.6%","13.0%","-50.0%","23.5%","-1.7%","-"
"Forrest, MS","4.3%","-1.1%","-","21.8%","4.2%","8.6%"
"Attala, MS","-28.7%","6.1%","100.0%","12.9%","-4.8%","-"
"Smith, TN","19.4%","5.3%","-4.3%","30.5%","3.7%","3.8%"
"Smith, MS","-50.6%","16.1%","200.0%","38.0%","-11.6%","-"
"Mobile, AL","29.7%","3.1%","-17.3%","31.8%","-0.5%","8.2%"
"Pearl River, MS","31.4%","-5.4%","52.6%","31.1%","2.9%","6.2%"
"Suffolk, VA","11.0%","0.0%","14.3%","24.3%","10.3%","5.0%"
"Kings, NY","7.1%","5.9%","-4.9%","10.8%","-0.8%","3.8%"
"Monroe, MS","41.9%","6.2%","188.8%","18.3%","-5.3%","-"
"Monroe, OH","48.5%","33.3%","0.0%","22.2%","-5.5%","-"
"Monroe, WV","34.4%","27.8%","-62.5%","16.0%","-7.9%","-"
"Monroe, IN","54.9%","8.0%","23.7%","27.5%","-5.1%","4.9%"
"Monroe, TN","41.3%","8.0%","-12.1%","32.9%","2.5%","4.5%"
"Monroe, KY","-26.5%","-2.7%","-50.0%","16.0%","6.4%","-"
"Monroe, GA","20.0%","8.2%","31.2%","23.0%","7.0%","3.3%"
"Monroe, FL","16.9%","-7.6%","-3.9%","21.7%","7.4%","4.0%"
"Monroe, AL","2.8%","0.9%","50.0%","20.6%","-8.9%","-"
"New Castle, DE","36.9%","3.0%","3.6%","19.8%","3.4%","5.6%"
"Queen Anne's, MD","71.1%","3.8%","4.2%","30.7%","3.2%","3.8%"
"Kent, DE","29.4%","7.2%","4.2%","19.5%","6.2%","5.2%"
"Kent, MD","13.1%","-0.6%","-48.7%","14.0%","-1.6%","-"
"Schuylkill, PA","26.4%","1.9%","4.4%","24.3%","1.2%","7.8%"
"Cecil, MD","16.4%","10.7%","-26.7%","21.3%","2.7%","4.3%"
"St. Mary's, MD","30.0%","7.8%","-15.7%","20.8%","2.3%","-"
"Howard, IN","58.5%","0.7%","-9.7%","28.6%","1.7%","6.8%"
"Howard, MD","108.3%","15.7%","-2.2%","15.2%","3.9%","3.6%"
"Cumberland, TN","39.4%","11.0%","3.5%","27.9%","6.6%","6.9%"
"Cumberland, NJ","33.4%","4.9%","-24.2%","18.2%","0.8%","5.8%"
"Cumberland, KY","14.2%","-2.0%","0.0%","15.3%","-11.3%","-"
"Cumberland, IL","-33.3%","-5.2%","-20.0%","0.0%","-4.4%","-"
"Cumberland, VA","-18.0%","38.8%","-53.3%","9.5%","-0.4%","-"
"Cumberland, NC","53.8%","6.1%","-15.7%","20.4%","1.6%","7.3%"
"Cumberland, PA","38.6%","7.9%","-9.0%","14.3%","7.6%","4.0%"
"Alexandria, VA","96.9%","6.8%","-16.2%","23.5%","-3.3%","3.4%"
"Mifflin, PA","-15.0%","-4.0%","-33.3%","18.6%","-0.6%","-"
"Manassas, VA","263.1%","40.8%","2.5%","14.0%","2.9%","4.6%"
"Rappahannock, VA","30.7%","11.4%","0.0%","30.0%","1.0%","3.2%"
"Warren, IN","23.0%","0.0%","0.0%","27.5%","2.6%","5.3%"
"Warren, NC","92.5%","2.6%","-28.5%","21.4%","-6.3%","-"
"Warren, OH","18.4%","2.2%","-1.8%","20.4%","8.6%","5.2%"
"Warren, TN","26.0%","-1.6%","23.2%","27.8%","2.8%","-"
"Warren, GA","7.6%","16.6%","100.0%","0.0%","-3.1%","-"
"Warren, KY","29.6%","2.3%","-11.8%","24.7%","8.3%","5.3%"
"Warren, VA","24.8%","9.5%","-22.8%","20.7%","4.1%","4.3%"
"Charlottesville, VA","109.3%","24.4%","-4.8%","30.7%","-2.5%","4.0%"
"Currituck, NC","35.1%","-3.0%","-1.3%","21.5%","14.7%","2.6%"
"Tyrrell, NC","0.0%","14.2%","-33.3%","0.0%","-18.0%","-"
"Gloucester, NJ","23.2%","4.3%","-7.9%","13.7%","5.8%","4.5%"
"Gloucester, VA","19.7%","16.6%","24.2%","24.0%","5.5%","4.2%"
"Gates, NC","61.5%","68.0%","75.0%","14.2%","-9.7%","5.0%"
"King and Queen, VA","-21.2%","4.0%","0.0%","14.8%","-5.3%","4.3%"
"Charles City, VA","14.2%","23.0%","-33.3%","0.0%","-4.4%","4.8%"
"Hanover, VA","-2.6%","8.8%","17.8%","18.0%","6.4%","4.5%"
"Henrico, VA","36.6%","20.2%","2.4%","16.6%","1.6%","5.0%"
"Chesterfield, SC","21.3%","9.0%","-25.0%","11.9%","-5.3%","-"
"Chesterfield, VA","27.1%","9.4%","-4.7%","15.2%","10.1%","4.8%"
"Greensville, VA","176.9%","111.7%","-22.2%","0.0%","-3.0%","-"
"Lenoir, NC","9.3%","4.2%","4.7%","29.4%","-4.0%","7.9%"
"Cambria, PA","-19.2%","-3.5%","0.0%","21.2%","-0.8%","7.5%"
"Pendleton, KY","57.8%","-6.2%","-36.3%","23.5%","1.1%","6.4%"
"Pendleton, WV","46.3%","36.3%","500.0%","10.2%","-13.3%","-"
"Tucker, WV","65.5%","-4.0%","600.0%","16.9%","-4.6%","-"
"Taylor, GA","75.0%","0.0%","-50.0%","0.0%","-4.9%","-"
"Taylor, KY","105.2%","5.4%","42.8%","30.9%","2.7%","-"
"Taylor, FL","-12.5%","17.4%","-14.2%","12.5%","-3.0%","-"
"Taylor, WV","-7.1%","18.1%","-66.6%","16.0%","-2.4%","4.7%"
"Covington, MS","34.8%","5.4%","-","10.2%","-4.5%","-"
"Covington, AL","54.3%","1.9%","-17.3%","20.1%","0.7%","-"
"Hudson, NJ","12.5%","6.1%","-14.5%","11.6%","4.3%","5.1%"
"Braxton, WV","12.8%","2.3%","0.0%","15.3%","-13.5%","-"
"Giles, TN","4.5%","-3.7%","-18.1%","27.1%","4.3%","-"
"Giles, VA","45.8%","27.2%","0.0%","28.5%","-1.2%","7.9%"
"Radford, VA","43.7%","-24.5%","40.0%","24.4%","-6.3%","6.8%"
"Cleveland, NC","29.8%","-3.3%","4.8%","32.0%","3.8%","6.2%"
"Sullivan, IN","40.0%","10.5%","-50.0%","11.7%","-0.1%","6.3%"
"Sullivan, TN","32.1%","2.3%","-14.4%","27.9%","2.8%","6.8%"
"Bristol, VA","55.2%","0.0%","-4.7%","31.8%","1.0%","8.3%"
"Unicoi, TN","-6.0%","-19.4%","29.4%","29.6%","-0.0%","5.2%"
"Norton, VA","45.4%","-11.1%","50.0%","0.0%","-9.2%","-"
"Georgetown, SC","38.7%","3.3%","-13.2%","29.0%","6.6%","6.9%"
"Dorchester, MD","35.3%","8.7%","-46.6%","27.6%","1.0%","8.1%"
"Dorchester, SC","40.3%","6.0%","-24.0%","44.4%","5.7%","6.1%"
"Colleton, SC","77.9%","1.6%","-4.0%","25.8%","2.8%","-"
"Beaufort, NC","89.1%","14.6%","-4.1%","24.1%","-5.6%","5.5%"
"Beaufort, SC","33.7%","3.2%","-20.8%","29.9%","5.4%","4.8%"
"Fairfield, OH","14.5%","31.4%","-13.9%","27.7%","6.1%","3.8%"
"Fairfield, SC","40.2%","11.3%","-","32.8%","-8.6%","8.6%"
"Hampton, VA","17.5%","-4.1%","0.0%","33.7%","2.0%","7.3%"
"Hampton, SC","-21.2%","-18.7%","-63.6%","0.0%","-6.3%","-"
"Greenwood, SC","61.1%","24.2%","18.0%","26.8%","-1.8%","7.9%"
"Treutlen, GA","-60.0%","50.0%","0.0%","0.0%","-5.7%","-"
"St. Lucie, FL","27.1%","-3.7%","-19.6%","26.7%","16.3%","7.2%"
"Brevard, FL","24.4%","-0.4%","-6.8%","33.0%","7.8%","6.5%"
"Putnam, WV","24.0%","21.5%","0.0%","14.3%","1.0%","5.7%"
"Putnam, GA","14.1%","3.6%","-19.2%","24.9%","4.7%","6.8%"
"Putnam, IN","40.3%","15.2%","0.0%","21.4%","-1.2%","-"
"Putnam, TN","56.2%","12.1%","-38.4%","33.9%","6.3%","6.3%"
"Putnam, FL","37.0%","1.4%","0.0%","23.8%","2.4%","7.5%"
"Charlton, GA","104.8%","-6.6%","300.0%","17.3%","-2.0%","-"
"Ware, GA","41.6%","-3.2%","-37.0%","29.5%","1.0%","9.2%"
"Collier, FL","33.9%","-7.5%","-11.6%","21.5%","6.8%","5.4%"
"Clinton, IN","-3.1%","24.0%","-45.7%","25.8%","2.0%","3.6%"
"Clinton, KY","27.6%","-3.2%","0.0%","20.0%","-9.5%","-"
"Clinton, IL","27.8%","4.0%","-13.6%","21.0%","-1.9%","5.3%"
"Clinton, OH","8.0%","11.3%","-16.6%","16.2%","0.2%","-"
"Powell, KY","36.7%","13.6%","0.0%","23.8%","5.9%","-"
"Jessamine, KY","29.2%","14.6%","21.8%","24.6%","2.6%","4.3%"
"Owen, IN","37.6%","-11.6%","0.0%","33.3%","2.6%","5.5%"
"Owen, KY","95.2%","15.4%","-46.6%","21.0%","4.9%","-"
"Adams, OH","42.8%","11.1%","-13.0%","24.7%","-1.3%","-"
"Adams, PA","52.3%","9.7%","2.5%","21.1%","3.8%","4.1%"
"Adams, IN","-5.0%","-5.0%","-19.2%","27.5%","2.2%","-"
"Allen, OH","94.3%","42.5%","22.3%","20.4%","-1.7%","7.1%"
"Allen, KY","34.8%","8.3%","11.1%","15.5%","1.1%","6.1%"
"Spencer, IN","52.1%","9.0%","-27.2%","34.5%","-3.1%","-"
"Spencer, KY","144.0%","8.9%","-38.8%","36.3%","8.9%","3.6%"
"Trimble, KY","-15.3%","22.2%","100.0%","42.1%","-1.2%","-"
"Grant, KY","21.2%","29.0%","64.7%","35.8%","1.2%","5.2%"
"Grant, WV","120.0%","2.3%","66.6%","14.2%","-5.7%","-"
"Grant, IN","0.5%","1.6%","61.1%","26.8%","0.4%","-"
"Cass, IN","79.4%","10.9%","-3.0%","32.3%","-1.0%","-"
"Letcher, KY","-5.2%","-14.2%","25.0%","28.5%","-6.7%","-"
"Knott, KY","-48.7%","-9.0%","50.0%","0.0%","-9.4%","-"
"Hamblen, TN","71.8%","6.8%","-8.1%","36.0%","3.8%","7.3%"
"Stephens, GA","78.5%","11.6%","6.0%","28.4%","4.5%","-"
"Habersham, GA","74.5%","8.4%","3.7%","28.5%","6.0%","6.7%"
"Laurel, KY","32.3%","7.3%","-20.4%","25.3%","4.2%","-"
"Fannin, GA","26.4%","15.8%","-12.5%","21.1%","2.7%","-"
"Bledsoe, TN","51.6%","0.0%","-50.0%","34.2%","2.0%","-"
"Sequatchie, TN","83.6%","0.5%","-","31.7%","11.3%","4.2%"
"Larue, KY","20.6%","20.6%","75.0%","29.6%","6.1%","5.7%"
"Coffee, GA","4.6%","-3.5%","-66.6%","22.2%","0.4%","-"
"Coffee, AL","61.1%","14.5%","-17.0%","27.3%","5.7%","9.2%"
"Coffee, TN","59.2%","-0.9%","-22.6%","28.7%","8.0%","5.6%"
"Cannon, TN","89.8%","10.8%","0.0%","29.4%","4.9%","3.2%"
"Breckinridge, KY","11.1%","13.0%","-30.0%","23.2%","3.1%","-"
"Bedford, VA","31.2%","2.9%","-15.8%","23.5%","3.5%","4.5%"
"Bedford, PA","-22.9%","-6.4%","9.5%","33.6%","-2.2%","-"
"Bedford, TN","54.6%","-3.4%","-22.3%","22.1%","7.8%","6.4%"
"Anderson, KY","31.6%","10.6%","83.3%","26.3%","8.4%","3.7%"
"Anderson, TN","79.0%","11.3%","5.8%","32.7%","4.9%","5.6%"
"Anderson, SC","41.4%","10.5%","-16.2%","29.2%","6.2%","5.9%"
"Wilkes, NC","61.9%","16.3%","40.6%","21.5%","-3.7%","-"
"Wilkes, GA","88.8%","1.4%","-28.5%","9.7%","-3.3%","-"
"Cook, GA","24.2%","-1.2%","233.3%","36.3%","1.0%","-"
"Colquitt, GA","-14.2%","0.0%","-29.1%","21.0%","0.6%","-"
"Fulton, PA","29.4%","-15.3%","100.0%","14.8%","0.2%","-"
"Fulton, KY","10.0%","10.0%","-66.6%","23.5%","3.7%","-"
"Fulton, GA","36.4%","5.7%","-4.3%","29.2%","2.7%","4.8%"
"Miller, GA","-41.6%","-6.6%","100.0%","0.0%","0.6%","-"
"Floyd, IN","-0.5%","2.8%","17.7%","26.6%","3.8%","5.0%"
"Floyd, KY","-4.7%","-5.6%","-57.1%","16.4%","-4.2%","-"
"Floyd, VA","6.6%","0.0%","-12.5%","17.0%","-0.6%","6.1%"
"Floyd, GA","53.9%","3.0%","-4.7%","23.3%","2.2%","6.1%"
"Randolph, NC","76.1%","18.8%","0.0%","22.3%","2.8%","6.3%"
"Randolph, GA","33.3%","-29.4%","-66.6%","0.0%","-11.5%","-"
"Randolph, WV","78.9%","36.0%","-25.0%","17.2%","-4.4%","-"
"Randolph, IN","35.8%","22.0%","20.8%","28.5%","-2.5%","-"
"Randolph, AL","38.1%","12.9%","-66.6%","29.0%","-1.1%","-"
"Bullock, AL","4.3%","9.0%","0.0%","30.7%","-1.8%","-"
"Geneva, AL","86.8%","4.5%","-4.7%","39.5%","0.8%","8.3%"
"Pike, KY","9.6%","-5.1%","-6.6%","18.5%","-4.9%","-"
"Pike, OH","100.0%","2.8%","-15.3%","22.5%","-4.0%","-"
"Pike, GA","20.0%","-2.4%","50.0%","14.8%","8.0%","3.0%"
"Pike, IN","0.0%","2.5%","25.0%","25.8%","-1.8%","-"
"Pike, AL","7.4%","0.0%","0.0%","17.9%","-1.3%","8.3%"
"Talladega, AL","25.2%","-3.0%","-10.7%","19.7%","1.6%","6.9%"
"Butler, OH","21.8%","16.8%","-11.5%","17.9%","2.7%","5.5%"
"Butler, KY","27.2%","35.4%","0.0%","16.0%","-2.9%","5.9%"
"Butler, AL","119.3%","0.0%","150.0%","9.0%","-6.0%","-"
"Thomas, GA","34.8%","-1.3%","7.8%","16.5%","2.1%","10.5%"
"Okaloosa, FL","9.5%","0.5%","-5.4%","27.7%","5.4%","6.1%"
"Daviess, KY","-10.1%","-10.1%","-28.8%","25.3%","2.3%","6.3%"
"Daviess, IN","1.7%","4.5%","41.1%","27.2%","1.5%","-"
"Fountain, IN","-1.4%","41.6%","0.0%","22.6%","0.3%","-"
"Edgar, IL","-16.1%","0.0%","30.7%","23.5%","-5.1%","-"
"Jasper, SC","43.2%","2.1%","0.0%","30.6%","9.8%","4.4%"
"Jasper, MS","-5.0%","-6.6%","-","21.6%","-1.9%","-"
"Jasper, GA","3.2%","9.8%","-3.4%","24.0%","11.3%","3.4%"
"Jasper, IL","-12.5%","3.6%","-83.3%","42.1%","-3.8%","-"
"De Witt, IL","-3.6%","4.0%","-42.1%","12.9%","-3.6%","-"
"Tazewell, VA","65.5%","-1.0%","58.3%","14.1%","-5.1%","6.0%"
"Tazewell, IL","-1.7%","-0.4%","-16.3%","17.9%","-2.1%","5.5%"
"Mason, WV","-22.5%","2.1%","60.0%","10.0%","-6.4%","-"
"Mason, KY","40.7%","5.5%","100.0%","17.3%","-0.9%","-"
"Knox, IN","-11.5%","-3.9%","100.0%","18.6%","-3.4%","-"
"Knox, OH","70.5%","4.5%","72.2%","33.8%","2.7%","-"
"Knox, KY","31.0%","5.5%","11.1%","38.3%","-4.5%","-"
"Knox, TN","68.7%","9.0%","-10.1%","27.5%","7.6%","6.6%"
"Ohio, WV","1.9%","15.1%","58.3%","18.0%","-1.5%","6.8%"
"Ohio, IN","28.5%","-10.0%","66.6%","36.3%","1.8%","4.8%"
"Ohio, KY","37.0%","12.1%","0.0%","34.0%","-1.5%","-"
"McNairy, TN","27.8%","7.4%","-11.7%","20.8%","0.1%","-"
"Alcorn, MS","35.9%","1.4%","-13.6%","20.2%","-7.2%","-"
"Shelby, KY","2.4%","3.1%","64.8%","17.3%","3.8%","4.3%"
"Shelby, AL","11.2%","2.6%","3.9%","19.8%","8.0%","5.5%"
"Shelby, IN","91.8%","30.2%","-26.1%","32.2%","1.5%","5.8%"
"Shelby, OH","82.9%","8.7%","22.5%","27.4%","-1.6%","3.6%"
"Shelby, IL","-3.4%","-17.6%","-21.4%","22.2%","-4.4%","-"
"DeSoto, FL","3.6%","-11.8%","37.9%","20.7%","-4.6%","-"
"Perry, PA","44.1%","39.3%","-7.8%","16.9%","0.1%","3.2%"
"Perry, IN","36.0%","5.6%","300.0%","28.5%","0.4%","-"
"Perry, KY","36.0%","3.0%","25.0%","8.6%","3.4%","-"
"Perry, MS","-4.3%","4.7%","-","22.2%","-4.7%","6.9%"
"Perry, IL","12.9%","29.6%","-52.6%","16.6%","-2.6%","-"
"Perry, TN","40.0%","4.4%","20.0%","18.1%","8.2%","-"
"Perry, OH","67.0%","-2.9%","3.8%","26.1%","-1.4%","4.3%"
"Perry, AL","-18.9%","-6.2%","-50.0%","0.0%","-13.2%","-"
"Clarke, VA","40.4%","24.5%","0.0%","30.7%","4.8%","3.2%"
"Clarke, GA","51.5%","10.2%","-","24.0%","2.0%","6.1%"
"Clarke, MS","100.0%","30.0%","-85.7%","22.2%","-3.1%","17.0%"
"Clarke, AL","22.6%","2.1%","0.0%","9.8%","-6.4%","-"
"Chickasaw, MS","35.4%","13.5%","-50.0%","0.0%","-1.6%","-"
"Holmes, OH","11.4%","11.4%","11.1%","13.3%","1.0%","-"
"Holmes, FL","11.1%","6.8%","-15.3%","19.3%","1.0%","-"
"George, MS","0.0%","2.6%","35.0%","16.1%","4.8%","-"
"Monmouth, NJ","13.4%","16.6%","-7.2%","11.7%","3.4%","4.1%"
"Middlesex, VA","56.9%","7.8%","76.9%","12.7%","0.6%","-"
"Middlesex, NJ","27.6%","18.8%","-5.9%","11.2%","4.0%","5.6%"
"Somerset, PA","-6.4%","11.0%","19.4%","16.8%","-2.3%","-"
"Somerset, MD","5.0%","-7.9%","-","19.1%","-4.0%","7.8%"
"Somerset, NJ","29.6%","24.1%","-6.8%","9.6%","5.3%","5.3%"
"Philadelphia, PA","12.3%","4.6%","-6.9%","24.5%","-2.1%","9.0%"
"Columbia, FL","39.8%","6.7%","-59.6%","29.1%","3.6%","6.4%"
"Columbia, GA","17.7%","13.7%","-14.8%","16.2%","7.0%","6.1%"
"Prince William, VA","107.4%","19.5%","8.1%","22.6%","4.6%","4.4%"
"Blair, PA","21.6%","4.9%","-5.5%","45.4%","-1.8%","5.5%"
"Accomack, VA","68.5%","-0.1%","-3.3%","14.4%","1.7%","-"
"Virginia Beach, VA","45.3%","8.4%","12.6%","29.2%","0.7%","5.4%"
"Chesapeake, VA","22.1%","7.5%","-1.2%","25.7%","4.6%","5.2%"
"Isle of Wight, VA","14.9%","4.5%","-18.5%","24.2%","8.4%","4.7%"
"Martin, FL","42.9%","-2.3%","-12.4%","28.0%","1.4%","5.4%"
"Martin, IN","29.7%","4.3%","100.0%","12.1%","-3.4%","-"
"Martin, KY","28.5%","20.0%","0.0%","0.0%","-6.1%","-"
"Martin, NC","13.1%","8.8%","-73.3%","12.6%","-5.5%","-"
"Amelia, VA","10.6%","13.0%","36.3%","16.3%","3.7%","3.9%"
"Nottoway, VA","53.6%","3.9%","155.5%","21.0%","0.6%","-"
"Page, VA","38.4%","16.1%","-34.2%","25.8%","0.0%","-"
"Allegany, MD","20.0%","4.6%","-26.7%","18.7%","-5.2%","9.1%"
"Greene, IN","16.0%","-3.8%","0.0%","18.3%","-4.1%","-"
"Greene, NC","85.7%","10.6%","0.0%","10.2%","-2.7%","-"
"Greene, OH","4.8%","9.8%","12.2%","23.3%","1.0%","5.1%"
"Greene, AL","20.0%","0.0%","100.0%","0.0%","-9.9%","6.6%"
"Greene, GA","52.9%","9.9%","24.3%","21.7%","15.3%","-"
"Greene, VA","55.7%","34.5%","40.0%","10.4%","7.4%","6.0%"
"Greene, TN","68.0%","14.8%","8.8%","32.6%","5.0%","5.2%"
"Greene, MS","-26.6%","15.7%","-25.0%","0.0%","-0.8%","-"
"Greene, PA","7.8%","-2.0%","75.0%","14.4%","-5.0%","-"
"Nicholas, KY","140.0%","-25.0%","-16.6%","25.8%","7.8%","-"
"Nicholas, WV","17.0%","3.2%","-50.0%","28.0%","-3.4%","-"
"Belmont, OH","8.7%","-1.7%","7.3%","30.1%","-3.8%","6.8%"
"Pleasants, WV","100.0%","123.5%","100.0%","17.3%","0.8%","-"
"Noble, OH","53.8%","-4.7%","200.0%","11.4%","-1.3%","-"
"Coshocton, OH","30.7%","6.2%","0.0%","33.3%","0.2%","-"
"Athens, OH","40.2%","0.0%","-42.8%","23.7%","-6.4%","6.3%"
"Gallia, OH","12.5%","-4.0%","60.0%","17.3%","-3.4%","-"
"Hocking, OH","29.2%","19.5%","-13.7%","30.3%","-1.9%","3.7%"
"Licking, OH","24.6%","14.1%","10.4%","30.4%","4.2%","3.8%"
"Vinton, OH","79.4%","27.2%","-91.6%","27.2%","-3.2%","-"
"Person, NC","67.6%","16.5%","-12.5%","20.3%","-0.0%","4.0%"
"Hoke, NC","37.9%","0.0%","-6.0%","18.3%","-0.2%","4.9%"
"Caswell, NC","-4.1%","-23.3%","-50.0%","21.0%","-0.2%","-"
"Montgomery, PA","30.5%","16.9%","-0.4%","14.5%","4.8%","4.4%"
"Montgomery, AL","34.9%","7.1%","5.1%","17.8%","-0.3%","10.6%"
"Montgomery, KY","-0.8%","-11.1%","-11.5%","18.1%","1.8%","-"
"Montgomery, OH","28.4%","5.8%","-3.7%","27.4%","0.2%","6.7%"
"Montgomery, IL","16.0%","17.5%","35.2%","17.1%","-3.2%","-"
"Montgomery, TN","27.0%","4.6%","-1.2%","22.5%","16.4%","5.3%"
"Montgomery, MD","104.8%","16.3%","-1.6%","23.0%","0.5%","3.9%"
"Montgomery, IN","52.4%","12.4%","-31.2%","34.7%","-0.3%","5.3%"
"Montgomery, GA","36.3%","0.0%","-75.0%","20.0%","-3.9%","-"
"Montgomery, MS","24.5%","-2.9%","100.0%","10.8%","-4.8%","-"
"Montgomery, VA","8.5%","6.2%","-19.4%","17.0%","-0.3%","6.6%"
"Montgomery, NC","69.2%","17.1%","-35.7%","22.2%","-5.3%","-"
"Salem, NJ","25.5%","12.3%","-3.6%","19.1%","4.3%","4.9%"
"Salem, VA","32.5%","15.2%","-35.7%","28.8%","-0.1%","5.3%"
"Stanly, NC","58.3%","9.6%","-25.3%","31.9%","7.5%","6.5%"
"Davie, NC","22.2%","3.2%","14.2%","25.8%","3.6%","5.4%"
"Grayson, KY","24.6%","8.6%","-29.1%","25.3%","1.5%","-"
"Grayson, VA","20.0%","26.3%","20.0%","32.4%","-3.0%","-"
"Chester, PA","46.2%","21.6%","7.5%","18.1%","5.3%","3.7%"
"Chester, TN","87.6%","15.0%","20.0%","14.2%","1.7%","7.0%"
"Chester, SC","13.1%","12.0%","-15.1%","24.0%","-0.4%","5.7%"
"Burke, GA","7.0%","-9.5%","0.0%","17.0%","8.3%","7.5%"
"Burke, NC","20.4%","-1.4%","9.5%","24.7%","-2.2%","6.6%"
"Washington, AL","50.0%","0.0%","-75.0%","13.3%","-8.2%","-"
"Washington, FL","-12.9%","-7.4%","100.0%","33.6%","2.8%","5.3%"
"Washington, PA","27.8%","7.3%","-14.3%","21.6%","1.3%","6.2%"
"Washington, GA","-18.8%","7.6%","37.5%","9.7%","-2.7%","-"
"Washington, TN","74.6%","13.5%","3.2%","30.7%","7.6%","6.6%"
"Washington, MD","26.9%","4.6%","6.8%","19.6%","3.2%","5.0%"
"Washington, NC","-6.3%","-25.4%","-11.1%","24.2%","-10.2%","-"
